id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,hashtags,query,in_reply_to_screen_name,in_reply_to_status_id,user_mention,url,lat,lng,media
379008391597019136,https://twitter.com/thatcarrot321/status/379008391597019136,2013-09-14 22:26:56+00:00,@allen_cheyanne Uh I've never seen a winter be 100 degrees #false #wrong #dumb #cray #failedthefcat #intensivereading #water #yolo #blazeit,en,0,thatcarrot321,false,lang:en #yolo,allen_cheyanne,379005262834589697,allen_cheyanne,,,,
379008383854329856,https://twitter.com/RyanCarrigan2/status/379008383854329856,2013-09-14 22:26:55+00:00,"BA part 5, running like an idiot #yolo https://t.co/rZh3OdHxMo",en,0,RyanCarrigan2,yolo,lang:en #yolo,,,,https://vine.co/v/hnvdpujJzv0,,,
379008936252153856,https://twitter.com/magatron50/status/379008936252153856,2013-09-14 22:29:06+00:00,bout to go get my belly button pierced #Yolo,en,0,magatron50,Yolo,lang:en #yolo,,,,,,,
379008364933832706,https://twitter.com/josepheldridge/status/379008364933832706,2013-09-14 22:26:50+00:00,@JJPandaKing hahahah I wasn't sure whether to tweet that but #yolo,en,0,josepheldridge,yolo,lang:en #yolo,JJPandaKing,379008137082466304,JJPandaKing,,,,
379008329424834561,https://twitter.com/artichokes/status/379008329424834561,2013-09-14 22:26:42+00:00,First psu football game as a senior #yolo,en,0,artichokes,yolo,lang:en #yolo,,,,,,,
379008300916166656,https://twitter.com/DanielLatimerr/status/379008300916166656,2013-09-14 22:26:35+00:00,Looks like casino is going to claim more of my hard earned money tonight #Yolo,en,0,DanielLatimerr,Yolo,lang:en #yolo,,,,,,,
379008294418776064,https://twitter.com/Remember_Ghost/status/379008294418776064,2013-09-14 22:26:33+00:00,"I should drive up to Madison anyway, no gas #YOLO",en,0,Remember_Ghost,YOLO,lang:en #yolo,,,,,,,
379008203914489857,https://twitter.com/Emmalaaaa/status/379008203914489857,2013-09-14 22:26:12+00:00,RT @MissHoBro: Buying a furby tomorrow because #YOLO,en,1,Emmalaaaa,YOLO,lang:en #yolo,,,MissHoBro,,,,
379008134783574016,https://twitter.com/AlexandraaGee/status/379008134783574016,2013-09-14 22:25:55+00:00,“@6THGRADER: #ImThatTypeOfPersonWho eats all the marsh mellows and leaves the lucky charm cereal in the box #yolo” me 2 :.,en,0,AlexandraaGee,ImThatTypeOfPersonWho,lang:en #yolo,6THGRADER,373470977260142592,6THGRADER,,,,
379008131109765120,https://twitter.com/mittaboyvianen/status/379008131109765120,2013-09-14 22:25:54+00:00,#me #dutch #boy #week #ago #yolo #7uur #opstaan #morgen #voetbal⚽#love #sport #green #eyes #goodnight… http://t.co/RY3IUSC9kF,en,0,mittaboyvianen,me,lang:en #yolo,,,,http://instagram.com/p/eQejwPrkKh/,,,
379008113690427393,https://twitter.com/howtocarsten/status/379008113690427393,2013-09-14 22:25:50+00:00,bladder infection #brutal #pain #yolo,en,0,howtocarsten,brutal,lang:en #yolo,,,,,,,
379008046342868992,https://twitter.com/todd_jc/status/379008046342868992,2013-09-14 22:25:34+00:00,RT @JesusAfashion: Cats have tiny noses #YOLO,en,1,todd_jc,YOLO,lang:en #yolo,,,JesusAfashion,,,,
379008010267267072,https://twitter.com/_andreaayala/status/379008010267267072,2013-09-14 22:25:25+00:00,Still gonna sing along to it #yolo,en,0,_andreaayala,yolo,lang:en #yolo,,,,,,,
379008006538948608,https://twitter.com/Gstar_tweets/status/379008006538948608,2013-09-14 22:25:25+00:00,On the 24th of September all your going to hear is #Drakes new album banging out from my flat ! #NWTS #OVO #YOLO.,en,0,Gstar_tweets,Drakes,lang:en #yolo,,,,,,,
379007960196063232,https://twitter.com/barrientosmusic/status/379007960196063232,2013-09-14 22:25:13+00:00,VIBEZ #disco #suicidegirls #dogsofvine #yolo #shiney #vibes http://t.co/C12cyCu6SM,en,0,barrientosmusic,disco,lang:en #yolo,,,,http://instagram.com/p/eQeSxvCdLv/,,,
379007917745532928,https://twitter.com/pizzA_SLOSS/status/379007917745532928,2013-09-14 22:25:03+00:00,Snap chatting my contact list #yolo,en,0,pizzA_SLOSS,yolo,lang:en #yolo,,,,,,,
379007823130013696,https://twitter.com/bexsianjane/status/379007823130013696,2013-09-14 22:24:41+00:00,"Getting ready for my first sleep in London, and I'm greeted with ambulance sirens, loud drunks and noisy trains... #YOLO",en,0,bexsianjane,YOLO,lang:en #yolo,,,,,,,
379007796479795200,https://twitter.com/JesusAfashion/status/379007796479795200,2013-09-14 22:24:34+00:00,Cats have tiny noses #YOLO,en,1,JesusAfashion,YOLO,lang:en #yolo,,,,,,,
379007789555007488,https://twitter.com/Choco_313/status/379007789555007488,2013-09-14 22:24:33+00:00,Just been nutted #yolo,en,0,Choco_313,yolo,lang:en #yolo,,,,,,,
379007785520087040,https://twitter.com/Scott_Warner/status/379007785520087040,2013-09-14 22:24:32+00:00,Checking the date before eating the thing. #yolo,en,0,Scott_Warner,yolo,lang:en #yolo,,,,,,,
379007771859222528,https://twitter.com/meeshyeelll/status/379007771859222528,2013-09-14 22:24:29+00:00,@yeahhitsdavid let's get one #yolo,en,0,meeshyeelll,yolo,lang:en #yolo,yeahhitsdavid,379000535833395200,yeahhitsdavid,,,,
379007739566886912,https://twitter.com/NinjagoMakayla/status/379007739566886912,2013-09-14 22:24:21+00:00,#YOLO BITCHES,en,0,NinjagoMakayla,YOLO,lang:en #yolo,,,,,,,
379007735368413184,https://twitter.com/Esteban_Andrad/status/379007735368413184,2013-09-14 22:24:20+00:00,RT @iPhilosophe: #Beautiful #moments #with #my #bff #smile #swag #tumblr #twitter #instagram #yellow #yolo #memories… http://t.co/i7nRI2DqLP,en,1,Esteban_Andrad,Beautiful,lang:en #yolo,,,iPhilosophe,http://instagram.com/p/eQeYCLNJhz/,,,
379007723750588417,https://twitter.com/IRosenheim/status/379007723750588417,2013-09-14 22:24:17+00:00,Wheelchair police👮🔴🔵 #messingwithkids #yolo #wheelchairpolice https://t.co/N6oiTVHClA,en,0,IRosenheim,messingwithkids,lang:en #yolo,,,,https://vine.co/v/hnvwDiPu1eq,,,
379007692465250304,https://twitter.com/lyndswilko/status/379007692465250304,2013-09-14 22:24:10+00:00,Sorry for annoying everyone #yolo,en,0,lyndswilko,yolo,lang:en #yolo,,,,,53.70725239,-1.78284606,
379007674114793473,https://twitter.com/karen_jew/status/379007674114793473,2013-09-14 22:24:05+00:00,#Lovely #Day #YOLO(: &lt;3 xx. @_Karla_Estrada @__Enamorante__ http://t.co/NKl5tijxZd,en,0,karen_jew,Lovely,lang:en #yolo,,,_Karla_Estrada,,,,https://pbs.twimg.com/media/BUKBeKCCcAAbyTe.jpg
379007652514500608,https://twitter.com/Jess_Roscoe/status/379007652514500608,2013-09-14 22:24:00+00:00,Pulling slots with the grandparents. #YOLO,en,0,Jess_Roscoe,YOLO,lang:en #yolo,,,,,,,
379007646424387584,https://twitter.com/tirynbrownxo/status/379007646424387584,2013-09-14 22:23:59+00:00,Listening to some sick tunes with @chrissyybrown #yolo,en,0,tirynbrownxo,yolo,lang:en #yolo,,,chrissyybrown,,,,
379007627855798272,https://twitter.com/beccyburgin/status/379007627855798272,2013-09-14 22:23:54+00:00,Finally gone and got a nose piercing! #YOLO,en,0,beccyburgin,YOLO,lang:en #yolo,,,,,,,
379007618142191616,https://twitter.com/Johnscott224/status/379007618142191616,2013-09-14 22:23:52+00:00,RT @ohheyitsandrea: Sometimes I like to put shoes on my hands and walk around like I'm a dog and growl at cats #swag #yolo,en,1,Johnscott224,swag,lang:en #yolo,,,ohheyitsandrea,,,,
