id_str,tweet_url,created_at,text,lang,retweet_count,screen_name,lat,lng,url,hashtags,query,user_mention,in_reply_to_screen_name,in_reply_to_status_id,media
378913023668543489,https://twitter.com/ferdthebirdsite/status/378913023668543489,2013-09-14 16:07:59+00:00,RT @Heracr0ss_: Tweeting from the toilet. #HASHTAG #YOLO - Mt,en,1,ferdthebirdsite,,,,HASHTAG,lang:en #hashtag,Heracr0ss_,,,
378913014411722752,https://twitter.com/ForeverRingo/status/378913014411722752,2013-09-14 16:07:57+00:00,#selfie #teamramos #theramosboys #BigBernardLilBernardandDaniel #movietime I #hashtag everything 😂👍❤ @… http://t.co/VDzNDtTrgL,en,0,ForeverRingo,40.74097362,-73.78434062,http://instagram.com/p/ePzGi5Lhxh/,selfie,lang:en #hashtag,,,,
378912953405538304,https://twitter.com/Robhiavelli/status/378912953405538304,2013-09-14 16:07:42+00:00,Ayeee Me and Melanie's first kiss! 🙌 #hashtag http://t.co/KQUthu3XxC,en,2,Robhiavelli,,,,hashtag,lang:en #hashtag,,,,https://pbs.twimg.com/media/BUIrUtCIgAABZtc.jpg
378912850636312577,https://twitter.com/Heracr0ss_/status/378912850636312577,2013-09-14 16:07:18+00:00,Tweeting from the toilet. #HASHTAG #YOLO - Mt,en,1,Heracr0ss_,,,,HASHTAG,lang:en #hashtag,,,,
378912718524522496,https://twitter.com/danyella_ryller/status/378912718524522496,2013-09-14 16:06:46+00:00,#girl #beauty #beach #fitness #work #weheartit #qt #gorgeous #hashtag #healthy #health #tagsforlikes… http://t.co/QWP1id165T,en,1,danyella_ryller,,,http://instagram.com/p/ePzQj1QTSZ/,girl,lang:en #hashtag,,,,
378912582607724544,https://twitter.com/juubunss/status/378912582607724544,2013-09-14 16:06:14+00:00,RT @LLCooTay: “@juubunss: I really hate when people #hashtag #every #word #they #say #on #insta 😒😤😡”,en,1,juubunss,,,,hashtag,lang:en #hashtag,LLCooTay,,,
378912557597462528,https://twitter.com/Jazmyn_Cobb/status/378912557597462528,2013-09-14 16:06:08+00:00,RT @uhlexxuss: “@Marrrrky_: This isn't Instagram chill with the hashtags” #no #toocool #twitter #hashtag #iamcool #youarenot #sukmydik #swa…,en,2,Jazmyn_Cobb,,,,no,lang:en #hashtag,uhlexxuss,,,
378912469722202112,https://twitter.com/katiesollazzo/status/378912469722202112,2013-09-14 16:05:47+00:00,@alexiabardetti #allcaps #hashtag #NOT,en,0,katiesollazzo,,,,allcaps,lang:en #hashtag,alexiabardetti,alexiabardetti,378909970713944065,
378912315783270401,https://twitter.com/deliajulianaa/status/378912315783270401,2013-09-14 16:05:10+00:00,Can't you tell? He loves taking pictures! #notreally #hehatesme #hashtag http://t.co/buBmKJdLQG,en,0,deliajulianaa,,,http://instagram.com/p/ePzJUSzauf/,notreally,lang:en #hashtag,,,,
378912273089454080,https://twitter.com/HummKmr/status/378912273089454080,2013-09-14 16:05:00+00:00,Bitaneleer ♥ #girls #smile #cute #perli #love #yes #yuhuuuuu  #instagirl #hashtag #bestfriend… http://t.co/yZLAY54KIT,en,0,HummKmr,,,http://instagram.com/p/ePy4bJGFU_/,girls,lang:en #hashtag,,,,
